table_name,column_name,full_column_name,descriptions,data_type,char_len
MDOTW_VW_OCCURRENCE_PUBLIC,AccIncTypeDisplayEng,Accident/incident type (English),"The type of accident or incident, in English. ",varchar,513
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,AccIncTypeDisplayEng,Accident/incident type (English),"The type of accident or incident, in English. ",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,AccIncTypeDisplayFre,Accident/incident type (French),"The type of accident or incident, in French. ",varchar,513
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,AccIncTypeDisplayFre,Accident/incident type (French),"The type of accident or incident, in French. ",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,AccIncTypeID,Accident/incident type identification number,A system-generated number for the purposes of database administration.,NULL,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,AccIncTypeID,Accident/incident type identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,ActivityCategoryDisplayEng,Activity category (English),"The category of activity (carriage of cargo or people, fishing, search and rescue, etc.) being undertaken on the occurrence voyage, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,ActivityCategoryDisplayFre,Activity category (French),"The category of activity (carriage of cargo or people, fishing, search and rescue, etc.) being undertaken on the occurrence voyage, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,ActivityCategoryID,Activity category identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,ActivityTypeDisplayEng,Activity type (English),"The subtype of activity being undertaken on the occurrence voyage, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,ActivityTypeDisplayFre,Activity type (French),"The subtype of activity being undertaken on the occurrence voyage, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,ActivityTypeID,Activity type identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,AirPollutionDisplayEng,Air pollution (English),"Indicates whether there was air pollution present at the time of the occurrence, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,AirPollutionDisplayFre,Air pollution (French),"Indicates whether there was air pollution present at the time of the occurrence, in French.",varchar,255
